Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2014,Developing,59.9,271.0,64,0.01,73.52358168,62.0,492,18.6,86,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,17.5,0.47600000000000003,10.0
Albania,2014,Developing,77.5,8.0,0,4.51,428.74906680000004,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.7609999999999999,14.2
Algeria,2014,Developing,75.4,11.0,21,0.01,54.2373183,95.0,0,58.4,24,95.0,7.21,95.0,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4
Angola,2014,Developing,51.7,348.0,67,8.33,23.965612,64.0,11699,22.7,101,68.0,3.31,64.0,2.0,479.31224000000003,2692466.0,8.5,8.3,0.527,11.4
Antigua and Barbuda,2014,Developing,76.2,131.0,0,8.56,2422.999774,99.0,0,47.0,0,96.0,5.54,99.0,0.2,12888.29667,,3.3,3.3,0.782,13.9
Argentina,2014,Developing,76.2,118.0,8,7.93,847.3717462999999,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3
Armenia,2014,Developing,74.6,12.0,1,3.91,295.60871430000003,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.7123549999997,29622.0,2.1,2.1,0.7390000000000001,12.7
Australia,2014,Developed,82.7,6.0,1,9.71,10769.36305,91.0,340,66.1,1,92.0,9.42,92.0,0.1,62214.6912,2346694.0,0.6,0.6,0.9359999999999999,20.4
Austria,2014,Developed,81.4,66.0,0,12.32,8350.193523,98.0,117,57.1,0,98.0,11.21,98.0,0.1,51322.63997,8541575.0,1.8,2.0,0.892,15.9
Azerbaijan,2014,Developing,72.5,119.0,5,0.01,306.1824313,94.0,0,51.5,6,97.0,6.4,94.0,0.1,7891.299776000001,953579.0,2.8,2.9,0.752,12.2
